product_id,Tests,Unnamed: 2,128GB 8GB RAM,128GB 6GB RAM,256GB 8GB RAM,128GB 12GB RAM,512GB 16GB RAM,256GB 12GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,512GB 12GB RAM,Unnamed: 4,64GB 6GB RAM,256GB 6GB RAM,512GB 6GB RAM,256GB 4GB RAM,512GB 4GB RAM,Misc,512GB 8GB RAM,Unnamed: 8
10081,Battery life,,€ 249.00,,,,,,,,,,,,,,,,,,
10377,,,$ 599.00,$ 173.50,$ 329.99,,,,,,,,,,,,,,,,
10040,,,,,,$ 294.00,$ 505.00,,,,,,,,,,,,,,
10596,,,,,,$ 349.00,"$ 1,499.00",$ 439.99,,,,,,,,,,,,,
10625,,,$ 244.50,,$ 323.00,,,,,,,,,,,,,,,,
11252,,,$ 379.97,,$ 420.00,,,,,,,,,,,,,,,,
9995,,,"₹ 18,999",$ 124.00,,,,,,,,,,,,,,,,,
10604,,,,,,,,,$ 99.22,$ 115.00,$ 199.00,,,,,,,,,,
12545,,,,,,$ 999.00,,"$ 1,059.00",,,,"$ 1,179.00",,,,,,,,,
11903,,,$ 354.99,,$ 488.99,,,,,,,,,,,,,,,,
11908,,,,,,$ 554.97,,$ 645.95,,,,"$ 1,099.00",,,,,,,,,
11037,,,$ 239.50,,$ 300.00,,,,,,,,,,,,,,,,
10918,,,,,,$ 366.99,,$ 339.97,,,,$ 404.00,,,,,,,,,
10386,Battery life,,$ 150.00,,,,,,,,,,,,,,,,,,
9896,,,,$ 149.00,,,,,,,,,,$ 136.95,,,,,,,
9895,,,,$ 204.99,,,,,,,,,,$ 143.99,,,,,,,
11861,,,,$ 599.99,,,,,,,,,,,$ 670.00,$ 755.90,,,,,
11860,,,,$ 790.00,,,,,,,,,,,$ 862.79,"$ 1,088.50",,,,,
11862,,,,$ 659.00,,,,,,,,,,,$ 737.97,$ 769.00,,,,,
11773,,,,$ 905.00,,,,,,,,,,,$ 965.00,"$ 1,097.75",,,,,
11102,,,,$ 629.99,,,,,,,,,,,"$ 1,088.01",$ 759.99,,,,,
11089,,,,$ 699.00,,,,,,,,,,,"$ 1,199.00",$ 869.97,,,,,
10508,,,,$ 480.00,,,,,,,,,,,$ 523.71,$ 585.00,,,,,
10237,,,,$ 489.00,,,,,,,,,,,$ 618.00,$ 512.93,,,,,
9846,,,,,,,,,,$ 377.00,,,,,,,$ 489.95,$ 619.99,,,
10954,,,£ 421.00,$ 230.00,$ 295.90,,,,,,,,,,,,,,,,
12520,,,"₹ 59,999",,"₹ 64,999",,,,,,,,,,,,,,,,
12024,,,,,$ 810.00,,,$ 915.00,,,,$ 879.99,,,,,,,,,
12082,,,$ 410.00,,$ 577.49,,,,,,,,,,,,,,,"€ 1,069.51",
11253,,,$ 254.99,,$ 349.00,,,,,,,,,,,,,,,,
11251,,,$ 530.00,,,,,$ 600.00,,,,$ 685.00,,,,,,,,,
9848,,,,,,,,,,$ 265.00,$ 315.95,,,,,,$ 337.75,,,,
10509,,,,,,,,,,$ 320.00,$ 387.00,,,,,,$ 429.39,,,,
11103,,,,,,,,,,,$ 524.00,,,,,,$ 590.97,$ 659.99,,,
